epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,103394,1.51244,1.5509,0.00131,0.57341,0.45647,0.49179,0.40287,1.30367,1.30044,0.00131,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,106715,1.51131,1.54846,0.0013,0.57658,0.45406,0.49353,0.40407,1.30293,1.29926,0.00131,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,110038,1.50928,1.53955,0.0013,0.58027,0.45401,0.49552,0.40522,1.30178,1.29617,0.00131,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,113352,1.50582,1.535,0.0013,0.58272,0.45218,0.49843,0.40769,1.30078,1.29388,0.00131,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,116671,1.50355,1.53077,0.0013,0.58201,0.45218,0.50026,0.40916,1.30057,1.29144,0.0013,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,119961,1.50443,1.52254,0.0013,0.58639,0.45354,0.50157,0.41025,1.29921,1.28992,0.0013,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,123220,1.49521,1.52151,0.00129,0.58455,0.45641,0.50253,0.41094,1.29861,1.2873,0.0013,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,126481,1.4896,1.51098,0.00128,0.58275,0.4606,0.50264,0.41101,1.29753,1.28559,0.0013,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,129705,1.48472,1.501,0.00127,0.58008,0.4631,0.50385,0.41196,1.29731,1.28247,0.0013,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,132865,1.48739,1.4961,0.00127,0.57829,0.46592,0.50507,0.41288,1.29671,1.28016,0.00129,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3067.63,1.43429,1.45757,0.0012,0.58597,0.46747,0.50605,0.41379,1.29576,1.27805,0.00129,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6159.3,1.44863,1.48338,0.00123,0.58677,0.46855,0.5072,0.41438,1.29464,1.27674,0.00129,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9243.61,1.4427,1.4894,0.00121,0.58555,0.47401,0.50811,0.41552,1.29409,1.27473,0.00129,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12321.9,1.44316,1.48357,0.00122,0.58724,0.47252,0.50914,0.41644,1.29332,1.27263,0.00129,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,15395.7,1.43958,1.48621,0.00122,0.58538,0.47051,0.51076,0.4177,1.29345,1.27141,0.00128,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,18469.3,1.45035,1.48483,0.00122,0.58143,0.47218,0.5122,0.41878,1.29268,1.26956,0.00128,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,21541.9,1.443,1.47777,0.00122,0.58249,0.47389,0.51387,0.41985,1.29218,1.26769,0.00128,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,24619.5,1.43523,1.47022,0.0012,0.59016,0.46995,0.51499,0.42117,1.29037,1.26572,0.00128,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,27697.4,1.43543,1.46186,0.00121,0.59074,0.47313,0.51635,0.42225,1.28868,1.26355,0.00128,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,30775.6,1.43394,1.46021,0.00121,0.58505,0.47698,0.51616,0.42183,1.28809,1.26204,0.00128,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,33854.4,1.42958,1.44647,0.00121,0.58859,0.47303,0.51722,0.42262,1.28625,1.26091,0.00127,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,36933.6,1.42748,1.4496,0.00119,0.59703,0.46951,0.5189,0.42434,1.28512,1.25822,0.00127,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,40010.7,1.42948,1.44367,0.00119,0.59702,0.47189,0.51988,0.42487,1.28413,1.25615,0.00127,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,43086.9,1.4216,1.42821,0.00119,0.59456,0.47414,0.52027,0.42563,1.28247,1.25604,0.00127,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,46162.6,1.42156,1.42313,0.00118,0.59473,0.47581,0.52029,0.42556,1.28123,1.25446,0.00127,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,49240.9,1.41285,1.40807,0.00118,0.59085,0.48169,0.52154,0.42695,1.28074,1.25256,0.00127,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,52320,1.41851,1.40857,0.00119,0.58989,0.48292,0.52376,0.42917,1.27895,1.25031,0.00127,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,55400,1.41461,1.41265,0.00119,0.58911,0.4837,0.52465,0.42952,1.27945,1.24911,0.00127,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,58478.2,1.41403,1.39918,0.00118,0.58579,0.48426,0.52588,0.43044,1.27743,1.24754,0.00127,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,61556.2,1.4076,1.37868,0.00118,0.59216,0.48413,0.52693,0.43129,1.27761,1.2449,0.00127,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,64632,1.4049,1.38493,0.00116,0.59258,0.4841,0.52793,0.43213,1.27654,1.24395,0.00127,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3082.6,1.36529,1.31069,0.0011,0.58953,0.48836,0.52766,0.43185,1.27585,1.24278,0.00126,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6160.03,1.37349,1.32815,0.00113,0.58834,0.48905,0.52911,0.43298,1.27567,1.24099,0.00126,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9234.35,1.37259,1.33083,0.00111,0.58537,0.49071,0.5303,0.43381,1.27473,1.23927,0.00126,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12308.3,1.37019,1.32824,0.00112,0.5924,0.4878,0.53127,0.43497,1.27377,1.23691,0.00126,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15381.6,1.36833,1.32947,0.00112,0.59777,0.48616,0.53157,0.43527,1.27321,1.23679,0.00126,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,18454.5,1.37557,1.32726,0.00111,0.60124,0.4877,0.5322,0.43549,1.27334,1.2347,0.00126,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,21523.9,1.37156,1.32527,0.00112,0.59897,0.49109,0.53294,0.43602,1.27225,1.23491,0.00126,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,24604.8,1.36344,1.3137,0.0011,0.59957,0.49064,0.53364,0.43669,1.27176,1.23324,0.00126,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3070.74,1.32924,1.23049,0.00106,0.59731,0.49227,0.53386,0.4368,1.2714,1.23216,0.00126,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6128.74,1.34012,1.25068,0.00108,0.59486,0.49625,0.53403,0.43684,1.27143,1.23141,0.00126,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,9186.69,1.33982,1.25708,0.00107,0.58989,0.49996,0.53345,0.4363,1.27154,1.23102,0.00126,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12243.7,1.33837,1.25637,0.00108,0.59071,0.49967,0.53355,0.43624,1.27021,1.23113,0.00125,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,15301.6,1.33836,1.26174,0.00108,0.58977,0.5001,0.53368,0.43611,1.27063,1.22921,0.00126,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,18363.3,1.34504,1.26486,0.00107,0.58901,0.50267,0.53448,0.43659,1.27036,1.22849,0.00125,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,21427.8,1.3431,1.26718,0.00108,0.58977,0.50492,0.53531,0.4375,1.27071,1.22806,0.00125,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,24497.9,1.33506,1.25678,0.00106,0.59795,0.50174,0.53644,0.43827,1.27001,1.22721,0.00125,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
